2021-12-07	Other_Post-Employment_Benefits_Board_Mee	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2021/12/1841_M_Other_Post-Employment_Benefits_Board_Meeting_21-12-07_Action_Summary.pdf
2021-12-21	City_Commission_Conference_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2021/12/1745_A_City_Commission_Conference_Meeting_21-12-21_Conference_Meeting.pdf
2021-12-21	City_Commission_Regular_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2021/12/1746_A_City_Commission_Regular_Meeting_21-12-21_Regular_Agenda.pdf
2021-12-21	City_Commission_Regular_Meeting	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2021/12/1746_M_City_Commission_Regular_Meeting_21-12-21_Action_Summary.pdf
2022-01-05	City_Commission_Conference_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/1/1791_A_City_Commission_Conference_Meeting_22-01-05_Conference_Meeting.pdf
2022-01-05	City_Commission_Regular_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/1/1792_A_City_Commission_Regular_Meeting_22-01-05_Regular_Agenda.pdf
2022-01-05	City_Commission_Regular_Meeting	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/1/1792_M_City_Commission_Regular_Meeting_22-01-05_Action_Summary.pdf
2022-01-18	City_Commission_Regular_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/1/1793_A_City_Commission_Regular_Meeting_22-01-18_Regular_Agenda.pdf
2022-01-18	City_Commission_Regular_Meeting	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/1/1793_M_City_Commission_Regular_Meeting_22-01-18_Action_Summary.pdf
2022-01-18	City_Commission_Conference_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/1/1794_A_City_Commission_Conference_Meeting_22-01-18_Conference_Meeting.pdf
2022-01-18	CITY_COMMISSION_WORKSHOP	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/1/1845_A_CITY_COMMISSION_WORKSHOP_22-01-18_Conference_Meeting.pdf
2022-01-27	CITY_COMMISSION_WORKSHOP	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/1/1835_A_CITY_COMMISSION_WORKSHOP_22-01-27_Conference_Meeting.pdf
2022-02-01	City_Commission_Regular_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/2/1795_A_City_Commission_Regular_Meeting_22-02-01_Regular_Agenda.pdf
2022-02-01	City_Commission_Regular_Meeting	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/2/1795_M_City_Commission_Regular_Meeting_22-02-01_Action_Summary.pdf
2022-02-01	City_Commission_Conference_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/2/1796_A_City_Commission_Conference_Meeting_22-02-01_Conference_Meeting.pdf
2022-02-01	COMMUNITY_REDEVELOPMENT_AGENCY_BOARD	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/2/1849_A_COMMUNITY_REDEVELOPMENT_AGENCY_BOARD_22-02-01_CRA_Agenda.pdf
2022-02-01	COMMUNITY_REDEVELOPMENT_AGENCY_BOARD	minutes	https://legistar.granicus.com/FortLauderdale/meetings/2022/2/1849_M_COMMUNITY_REDEVELOPMENT_AGENCY_BOARD_22-02-01_Action_Summary.pdf
2022-02-15	City_Commission_Regular_Meeting	agenda	https://legistar.granicus.com/FortLauderdale/meetings/2022/2/1797_A_City_Commission_Regular_Meeting_22-02-15_Regular_Agenda.pdf
